"FIELD NAME";"DESCRIPTION"
"LCA_CASE_NUMBER";"Unique identifier assigned to each application submitted for processing"
"STATUS";"Status associated with the last significant event or decision. Valid values include “Certified,” “Certified-Withdrawn,” Denied,” and “Withdrawn”"
"LCA_CASE_SUBMIT";"Date and time the application was submitted"
"DECISION_DATE";"Date on which the last significant event or decision was recorded by the ETA National Processing Center"
"VISA_CLASS";"Indicates the type of temporary application submitted for processing. R = H-1B; A = E-3 Australian; C = H-1B1 Chile; S = H-1B1 Singapore.  Also referred to as “Program” in prior years."
"LCA_CASE_EMPLOYMENT_START_DATE";"Proposed begin date"
"LCA_CASE_EMPLOYMENT_END_DATE";"Proposed end date"
"LCA_CASE_EMPLOYER_NAME";"Employer's name"
"LCA_CASE_EMPLOYER_ADDRESS";"Employer's address"
"LCA_CASE_EMPLOYER_CITY";"Employer's city"
"LCA_CASE_EMPLOYER_STATE";"Employer's state"
"LCA_CASE_EMPLOYER_POSTAL_CODE";"Employer's postal code"
"LCA_CASE_SOC_CODE";"The Standard Occupational Classification (SOC) code which classifies workers by occupational groups"
"LCA_CASE_SOC_NAME";"Title of the SOC occupational group"
"LCA_CASE_JOB_TITLE";"Job title"
"LCA_CASE_WAGE_RATE_FROM";"Employer's proposed wage rate"
"LCA_CASE_WAGE_RATE_TO";"Maximum proposed wage rate"
"LCA_CASE_WAGE_RATE_UNIT";"Unit of pay for proposed wage rate"
"FULL_TIME_POS";"Y = Full time; N = Part time position"
"TOTAL_WORKERS";"Total number of foreign workers being requested for temporary labor certification"
"LCA_CASE_WORKLOC1_CITY";"Address information of the intended are in which the foreign worker is expected to be employed (location of the job opening)"
"LCA_CASE_WORKLOC1_STATE";""
"PW_1";"Prevailing wage rate"
"PW_UNIT_1";"Unit of pay"
"PW_SOURCE_1";"Collective bargaining; SESA; Other"
"OTHER_WAGE_SOURCE_1";"Description of the Other wage source (online wage library, OES, employer provided survey, etc.)"
"YR_SOURCE_PUB_1";"Collective bargaining; SESA; Other"
"LCA_CASE_WORKLOC2_CITY";"Address information of the second location in which the foreign worker is expected to be employed (location of the job opening)"
"PW_2";"Prevailing wage rate - second location"
"PW_UNIT_2";"Unit of pay - second location"
"PW_SOURCE_2";"Collective bargaining; SESA; Other - second location"
"OTHER_WAGE_SOURCE_2";"Description of the Other wage source (online wage library, OES, employer provided survey, etc.) – second location"
"YR_SOURCE_PUB_2";"Year that the prevailing wage data was published – second location"
"LCA_CASE_NAICS_CODE";"Industry code associated with the employer requesting permanent labor certification, as classified by the North American Industrial Classification System (NAICS)"
